store_id,name,suburb,state,postcode,address_line,latitude,longitude,phone,is_trading,skus_checked,has_wayfinding,sample_aisle
COL:205,Coles Karrinyup,Karrinyup,WA,6018,"Karrinyup Shopping Centre, Karrinyup Road",-31.877585,115.77765,(08) 6116 7000,True,"8150288,439693,5593963,9108061,8258400,5066120,7667368,9760091,69131,6787025,3058255,5066119,7034838,9416755,1104191,8794892,6000830,5066152,2807109,7667244",True,Dairy
COL:219,Coles Oasis (Palmerston),Palmerston,NT,0830,Corner Temple & Chung Wah Terrace,-12.483354,130.985361,(08) 8998 4700,True,"8083952,8083963,7667368,8083974,8083883,8083920,5467867,301721,1850656,5477930,9411784,7667244,9760091,9760070,7828977,7239433,7916101,1850667,2589992,1105004",True,Back wall
COL:256,Coles Dianella,Dianella,WA,6059,Alexander Drive,-31.895294,115.871192,(08) 9267 6700,True,"439693,8150288,5593963,9108061,7667368,6787025,5066120,69131,301721,7239433,7034838,1104191,5066119,8794892,5066152,3058255,9760091,7667244,6000830,8258400",True,Dairy
COL:257,Coles Halls Head,Halls Head,WA,6210,14 Guava Way,-32.548663,115.702756,(08) 9586 5100,True,"8150288,439693,5593963,9108061,7667368,6787025,7034838,7667244,6000830,2840374,9416755,5066120,6167825,7239433,1104191,3058255,69131,8258400,1850656,1850667",True,Aisle 11
COL:260,Coles Banksia Grove,Banksia Grove,WA,6031,Corner Joondalup Drive & Joseph Banks Boulevard,-31.70578,115.80114,(08) 9406 2800,True,"8150288,439693,9108061,5593963,7667368,8258400,6787025,1850656,7667244,69131,5066120,9416755,301721,1850667,3058255,7239433,7034838,8794892,5066152,6167825",True,Dairy
COL:262,Coles Caversham,Caversham,WA,6055,175 Suffolk St,-31.867661,115.96723,(08) 6165 5900,True,"8150288,439693,5593963,9108061,7667368,8258400,5066120,9760091,6787025,3058255,301721,1104191,7034838,6000830,3186175,6167825,1850667,1850656,7667244,2840374",True,Dairy
COL:263,Coles Byford,Byford,WA,6122,20 Abernethy Rd,-32.220426,116.006227,(08) 9532 0900,True,"8150288,439693,9108061,5593963,7667368,8258400,6787025,2840374,7667244,3058255,1850656,6167825,5066120,1850667,7239433,7034838,1104191,9760091,6000830,2917854",True,Back wall
COL:268,Coles Vasse,Vasse,WA,6280,Napoleon Promenade,-33.674076,115.250141,(08) 9730 1800,True,"8150288,439693,5593963,6787025,9108061,7667368,6167825,5066120,6000830,2840374,7034838,8258400,69131,7153597,1104191,5066119,301721,1850656,8794892,2840410",True,Dairy
COL:270,Coles Subiaco,Subiaco,WA,6008,44 Station Street,-31.943728,115.823138,(08) 6557 1900,True,"439693,8150288,5593963,9108061,6787025,7667368,7034838,8258400,5066120,5066119,8794892,69131,5066152,2840374,9760091,7153597,6000830,1104191,3058255,8257066",True,Dairy
COL:278,Coles Midland,Midland,WA,6056,Gt Eastern Hwy & Helena St,-31.889237,116.012162,(08) 6247 0100,True,"439693,8150288,5593963,9108061,7667368,6787025,8258400,301721,1104191,2840374,6000830,6167825,9760091,7034838,5066120,3058255,69131,1850656,9416755,7667244",True,Dairy
COL:282,Coles Haynes,Brookdale,WA,6112,Armadale Rd And Eigth Avenue,-32.147613,115.984856,(08) 9393 1500,True,"8150288,439693,7667368,5593963,9108061,6787025,2840374,8258400,1850656,8794892,6167825,7667244,9760091,301721,1850667,3058255,1104191,6000830,5066120,7034838",True,Back wall
COL:285,Coles High Wycombe,High Wycombe,WA,6057,530 Kalamunda Rd,-31.935324,116.004731,(08) 6272 8600,True,"8150288,439693,5593963,9108061,7667368,2840374,8258400,6787025,6000830,5066120,8794892,7034838,69131,1850656,1850667,6167825,2840410,7667244,301721,9760091",True,Dairy
COL:287,Coles Baldivis,Baldivis,WA,6171,Safety Bay Rd,-32.333382,115.814912,(08) 9523 3000,True,"8150288,439693,9108061,5593963,7667368,7667244,6787025,8258400,1850656,7239433,1850667,3058255,9416755,5066120,301721,7034838,2840374,8794892,6167825,69131",True,Aisle 17
COL:289,Coles Wanneroo,Wanneroo,WA,6065,950 Wanneroo Rd,-31.753612,115.805415,(08) 9306 7400,True,"8150288,439693,5593963,9108061,7667368,6787025,8258400,7667244,7034838,3058255,7239433,8794892,5066120,1850667,1850656,69131,301721,9416755,5066152,9760091",True,Dairy
COL:290,Coles Brighton,Butler,WA,6036,6 Kingsbridge Blvd,-31.649604,115.697373,(08) 9595 3500,True,"8150288,439693,5593963,9108061,7667368,8258400,9416755,6787025,7034838,7667244,7239433,8794892,5066120,1850667,3058255,69131,1850656,1104191,1079786,9760091",True,Back wall
COL:291,Coles Busselton,Busselton,WA,6280,69 Prince St,-33.650082,115.346231,(08) 9752 1833,True,"439693,8150288,5593963,6787025,9108061,7667368,6000830,7034838,2840374,6167825,7153597,8258400,1104191,69131,5066120,301721,3058255,2840410,5066119,7667244",True,Dairy
COL:292,Coles West Leederville,West Leederville,WA,6007,115 Cambridge St,-31.941067,115.833079,(08) 6380 3100,True,"439693,8150288,5593963,9108061,5066120,69131,7667368,6787025,7034838,5066119,8794892,5066152,7153597,8258400,2840374,1104191,75393,2917854,9760091,5290032",True,Aisle 11
COL:293,Coles Pinjarra,Pinjarra,WA,6208,George St & James St,-32.628811,115.873633,(08) 9531 7800,True,"8150288,439693,7667368,5593963,9108061,6787025,2840374,6000830,8258400,6167825,1850656,3058255,7239433,301721,5066120,1850667,7034838,7667244,2917854,1104191",True,Dairy
