pricing_now,pricing_was,pricing_savePercent,pricing_unit_quantity,pricing_unit_ofMeasureQuantity,pricing_unit_ofMeasureUnits,pricing_unit_price,pricing_unit_ofMeasureType,pricing_comparable,pricing_promotionUri,pricing_onlineSpecial,availability,imageUris_0_altText,imageUris_0_type,imageUris_0_uri,locations_0_aisleSide,locations_0_description,locations_0_facing,locations_0_aisle,locations_0_order,locations_0_indoorCoordinates_productX,locations_0_indoorCoordinates_productY,id,name,brand,restrictions,description,size,isWeightRangeApplied,pricing_promotionType,pricing_endsIn,pricing_saveAmount,pricing_priceDescription,pricing_saveStatement
5.8,0.0,0,600,100,g,0.97,ea,$0.97/ 100g,,False,available,,default,/1/1089305.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2397.64,1089305,Lower Carb White Bread,Abbott's Bakery,,ABBOTT'S BAKERY LOWER CARB WHITE BREAD 600G,600g,False,,,,,
5.8,0.0,0,700,100,g,0.83,ea,$0.83/ 100g,,False,available,,default,/1/1089349.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2397.64,1089349,High Protein Soy Chickpea And Quinoa Bread,Abbott's Bakery,,ABBOTT'S BAKERY HIGH PROTEIN SOY CHICKPEA AND QUINOA BREAD 700G,700g,False,,,,,
4.6,0.0,0,700,100,g,0.66,ea,$0.66/ 100g,,False,available,,default,/1/1139480.jpg,Right,Located in Aisle 1 at $STORE,3,Aisle 1,1.0,2468.43,2214.64,1139480,The One Wholemeal Sandwich Bread,Tip Top,,TIP TOP THE ONE BREAD:SANDWICH WHOLEMEAL:.:700GRAM,700g,False,EVERYDAY,Ends in 196 days,,,
4.6,0.0,0,700,100,g,0.66,ea,$0.66/ 100g,,False,available,,default,/1/1142033.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2214.64,1142033,Super Thick Toast Soft White Bread,Tip Top,,TIP TOP SUPER THICK TOAST SOFT WHITE BREAD 700G,700g,False,EVERYDAY,Ends in 161 days,,,
4.5,5.5,0,500,100,g,0.9,ea,$0.90/ 100g,Special,False,available,,default,/1/1308216.jpg,Right,Located in Aisle 1 at $STORE,3,Aisle 1,1.0,2468.43,2031.64,1308216,Raisin Toast Bread,Tip Top,,TIP TOP RAISIN TOAST BREAD,500g,False,SPECIAL,Ends in 7 days,1.0,was $5.50,Save $1.00
4.5,5.5,0,575,100,g,0.78,ea,$0.78/ 100g,Special,False,available,,default,/1/1309241.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2031.64,1309241,Bread Wholemeal Raisin Toast,Tip Top,,TIP TOP WHOLEMEAL RAISIN TOAST BREAD,575g,False,SPECIAL,Ends in 7 days,1.0,was $5.50,Save $1.00
7.2,0.0,0,600,100,g,1.2,ea,$1.20/ 100g,,False,available,,default,/1/1309274.jpg,Right,Located in Aisle 1 at $STORE,2,Aisle 1,1.0,2468.43,2031.64,1309274,Cafe Thick Raisin Toast Bread,Tip Top,,TIP TOP CAFE THICK RAISIN TOAST BREAD,600g,False,,,,,
,,,,,,,,,,,not_available,,default,/1/1422244.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,1422244,White Flatbread Oc,Coles Bakery,,WHITE FLATBREAD  6 PACK,6 Pack,False,,,,,
,,,,,,,,,,,not_available,,default,/1/1422288.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,1422288,Flatbread Wholemeal,Coles Bakery,,WHOLEMEAL FLATBREAD 6 PACK,6 Pack,False,,,,,
,,,,,,,,,,,not_available,,default,/1/1649545.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,1,,9999.0,,,1649545,Gingbread Easter Egg Cookie,Original Choc Chip Mini,,CUBBYHOUSE CANTEEN ORIGINAL CHOC CHIP MINI GINGERBREAD EASTER EGG COOKIE,150g,False,,,,,
,,,,,,,,,,,not_available,,default,/1/1649556.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,1,,9999.0,,,1649556,Funfetti Mini Gingerbread Easter Egg Cookie,Cubbyhouse Canteen,,CUBBYHOUSE CANTEEN FUNFETTI MINI GINGERBREAD EASTER EGG COOKIE,150g,False,,,,,
6.0,0.0,0,700,100,g,0.86,ea,$0.86/ 100g,,False,available,,default,/1/1845940.jpg,Right,Located in Aisle 1 at $STORE,2,Aisle 1,1.0,2468.43,2397.64,1845940,Bread Rye,Burgen,,BURGEN BREAD RYE 700G,700g,False,,,,,
6.0,0.0,0,700,100,g,0.86,ea,$0.86/ 100g,,False,not_available,,default,/1/1845951.jpg,Right,Located in Aisle 1 at $STORE,2,Aisle 1,1.0,2468.43,2397.64,1845951,Bread Soy Lin,Burgen,,BURGEN BREAD SOY LIN 700G,700g,False,,,,,
,,,,,,,,,,,not_available,,default,/1/1858363.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,1858363,Almond Shortbread,Pat And Stick's,,PAT AND STICK'S ALMOND SHORTBREAD 200G,200g,False,,,,,
5.0,0.0,0,680,100,g,0.74,ea,$0.74/ 100g,NEW,False,available,,default,/1/1845747.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2214.64,1845747,The One Bread Digestive Health White,Tip Top,,TIP TOP THE ONE DIGESTIVE HEALTH WHITE 680G,680g,False,NEW,Ends in 9 hours,,,
5.0,0.0,0,680,100,g,0.74,ea,$0.74/ 100g,NEW,False,not_available,,default,/1/1845769.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2214.64,1845769,The One Bread Digestive Health Wholemeal,Tip Top,,TIP TOP THE ONE DIGESTIVE HEATH WHOLEMEAL 680G,680g,False,NEW,Ends in 9 hours,,,
6.0,0.0,0,700,100,g,0.86,ea,$0.86/ 100g,,False,not_available,,default,/1/1845930.jpg,Right,Located in Aisle 1 at $STORE,2,Aisle 1,1.0,2468.43,2397.64,1845930,Bread Wholemeal & Seeds,Burgen,,BURGEN BREAD WHOLEMEAL & SEEDS 700G,700g,False,,,,,
3.3,0.0,0,240,100,g,1.38,ea,$1.38/ 100g,NEW,False,available,,default,/1/1875792.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2580.64,1875792,Naan Bread Garlic & Coriander,Maharaja,,MAHARAJA GARLIC & CORIANDER NAAN BREAD 2 PACK 240G,240g,False,NEW,Ends in 14 days,,,
5.2,0.0,0,700,100,g,0.74,ea,$0.74/ 100g,,False,available,,default,/3/3237185.jpg,Right,Located in Aisle 1 at $STORE,3,Aisle 1,1.0,2468.43,2214.64,3237185,Rustic White Bread,Abbott's Bakery,,ABBOTT'S BAKERY RUSTIC WHITE BREAD,700g,False,EVERYDAY,Ends in 161 days,,,
,,,,,,,,,,,not_available,,default,/3/3400901.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,3400901,Handmade Almond Bread Choc Dip,Cimino,,CIMINO HANDMADE ALMOND BREAD CHOC DIP,150g,False,,,,,
,,,,,,,,,,,not_available,,default,/3/3401085.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,3401085,Handmade Almond Bread,Cimino,,CIMINO HANDMADE ALMOND BREAD PLAIN,150g,False,,,,,
5.2,0.0,0,650,100,g,0.8,ea,$0.80/ 100g,,False,available,,default,/3/3558247.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2214.64,3558247,Sourdough Bread,Helga's,,HELGA'S SOURDOUGH,650g,False,EVERYDAY,Ends in 161 days,,,
,,,,,,,,,,,not_available,,default,/3/3639430.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,3639430,Bread Turkish,Sauers,,SAUERS BREAD TURKISH,430g,False,,,,,
,,,,,,,,,,,not_available,,default,/3/3639462.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,3639462,Turkish Breadrolls,Sauers,,SAUERS TURKISH BREADROLLS,330g,False,,,,,
,,,,,,,,,,,not_available,,default,/4/4474845.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,4474845,SOURDOUGH BREAD,HELGAS WHOLEMEAL,,HELGAS WHOLEMEAL SOURDOUGH BREAD,,False,,,,,
,,,,,,,,,,,not_available,,default,/4/4474878.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,4474878,SEEDS SOURDOUGH BREAD,HELGAS GRAINS &,,HELGAS GRAINS & SEEDS SOURDOUGH BREAD,,False,,,,,
4.9,0.0,0,450,100,g,1.09,ea,$1.09/ 100g,,False,available,,default,/7/7057200.jpg,Right,Located in Aisle 1 at $STORE,1,Aisle 1,1.0,2468.43,2580.64,7057200,White Bread Rolls Hot Dog,Tip Top,,TIP TOP WHITE BREAD ROLLS:HOT DOG:.:450 GRAM,450g,False,,,,,
4.9,0.0,0,520,100,g,0.94,ea,$0.94/ 100g,,False,available,,default,/7/7057276.jpg,Right,Located in Aisle 1 at $STORE,6,Aisle 1,1.0,2468.43,2580.64,7057276,White Bread Rolls Hamburger,Tip Top,,TIP TOP WHITE BREAD ROLLS:HAMBURGER:.:520 GRAM,520g,False,,,,,
5.2,0.0,0,680,100,g,0.76,ea,$0.76/ 100g,,False,available,,default,/7/7226023.jpg,Right,Located in Aisle 1 at $STORE,3,Aisle 1,1.0,2468.43,2214.64,7226023,Light Rye Bread,Abbott's Bakery,,ABBOTT'S BAKERY:RYE LIGHT:.:680 GRAM,680g,False,EVERYDAY,Ends in 161 days,,,
4.6,0.0,0,700,100,g,0.66,ea,$0.66/ 100g,,False,available,,default,/5/5827361.jpg,Right,Located in Aisle 1 at $STORE,4,Aisle 1,1.0,2468.43,2214.64,5827361,Bread + Vitamins Toast,Wonder,,WONDER BREAD:+ VITAMINS TOAST:.:700 GRAM,700g,False,EVERYDAY,Ends in 161 days,,,
,,,,,,,,,,,not_available,,default,/8/8050658.jpg,,Aisle information is not available for this product. Please ask a Team Member at $STORE to help you find this product.,0,,9999.0,,,8050658,Handmade Pistachio Cranberry Bread White Chocolate,Cimino,,CIMINO HANDMADE PISTACHIO CRANBERRY BREAD WHITE CHOC DIP 140G,140g,False,,,,,
