pricing_now,pricing_was,pricing_savePercent,pricing_unit_quantity,pricing_unit_ofMeasureQuantity,pricing_unit_ofMeasureUnits,pricing_unit_price,pricing_unit_ofMeasureType,pricing_comparable,pricing_promotionUri,pricing_onlineSpecial,availability,imageUris_0_altText,imageUris_0_type,imageUris_0_uri,locations_0_aisleSide,locations_0_description,locations_0_facing,locations_0_aisle,locations_0_order,locations_0_indoorCoordinates_productX,locations_0_indoorCoordinates_productY,id,name,brand,restrictions,description,size,isWeightRangeApplied,pricing_promotionType,pricing_endsIn,locations_1_aisleSide,locations_1_description,locations_1_facing,locations_1_aisle,locations_1_order,locations_1_indoorCoordinates_productX,locations_1_indoorCoordinates_productY,multiBuyPromotion_type,multiBuyPromotion_id,multiBuyPromotion_minQuantity,multiBuyPromotion_reward,multiBuyPromotion_unitPriceDisplay,pricing_priceDescription
6.5,0.0,0,8,1,ea,0.81,ea,$0.81/ 1ea,,False,available,,default,/5/5194822.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1487.13,5194822,Italian Espresso Style Coffee Bags 8 Pack,Robert Timms,,ROBERT TIMMS ITALIAN ESPRESSO COFFEE BAGS 8 PACK,45g,False,,,,,,,,,,,,,,,
7.0,0.0,0,100,1,ea,0.07,ea,$0.07/ 1ea,,False,available,,default,/3/3081315.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,3081315,English Breakfast Black Tea Bags,Lipton,,LIPTON ENGLISH BREAKFAST TEA 100 PACK,100 Pack,False,,,,,,,,,,,,,,,
13.0,0.0,0,20,1,ea,0.65,ea,$0.65/ 1ea,,False,available,,default,/3/3452610.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,3452610,Spice Chai Tea Sachets 20 Pack,Arkadia,,ARKADIA CHAI SPICE TEA SACHETS 20 PACK,400g,False,,,,,,,,,,,,,,,
7.0,0.0,0,100,1,ea,0.07,ea,$0.07/ 1ea,,False,available,,default,/1/116989.jpg,Back of Store,Located in Aisle 4 at $STORE,2,Aisle 4,4.0,3079.79,1853.13,116989,Black Tea Bags,Lipton,,LIPTON QUALITY BLACK TEA BAGS 100 PACK,100 Pack,False,,,,,,,,,,,,,,,
6.5,0.0,0,200,100,g,3.25,ea,$3.25/ 100g,,False,available,,default,/5/5892498.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1487.13,5892498,Classic Granulated Coffee,Coles,,COLES CLASSIC GRANULATED COFFEE 200G,200g,False,EVERYDAY,Ends in 168 days,,,,,,,,,,,,,
7.0,0.0,0,240,100,g,2.92,ea,$2.92/ 100g,,False,available,,default,/7/7490189.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1853.13,7490189,Spice Chai Tea,Arkadia,,ARKADIA CHAI TEA:SPICE:.:240 GRAM,240g,False,,,,,,,,,,,,,,,
18.0,0.0,0,250,100,g,7.2,ea,$7.20/ 100g,,False,available,,default,/8/8097061.jpg,Back of Store,Located in Aisle 4 at $STORE,3,Aisle 4,4.0,3079.79,1670.13,8097061,Classico Ground Coffee,Illy,,ILLY CLASSICO GROUND 250G,250g,False,,,,,,,,,,,,,,,
4.3,0.0,0,100,1,ea,0.04,ea,$0.04/ 1ea,,False,available,,default,/1/199523.jpg,Back of Store,Located in Aisle 4 at $STORE,2,Aisle 4,4.0,3079.79,1853.13,199523,Tea Bags 100 Pack,Tetley,,TETLEY TEA BAGS TEACUP 100 PACK,180g,False,,,,,,,,,,,,,,,
8.0,0.0,0,8,1,ea,1.0,ea,$1.00/ 1ea,,False,available,,default,/1/1800545.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1487.13,1800545,Pistachio Latte Sachets,Nescafe,,NESCAFE PISTACHIO LATTE SACHETS 8PK,8 Pack,False,,,,,,,,,,,,,,,
23.0,0.0,0,36,1,ea,0.64,ea,$0.64/ 1ea,,False,available,,default,/4/4926674.jpg,Back of Store,Located in Aisle 4 at $STORE,1,Aisle 4,4.0,3079.79,1670.13,4926674,By Nespresso House Blend Coffee Pods Intensity 8 Capsules,Starbucks,,STARBUCKS BY NESPRESSO HOUSE BLEND COFFEE PODS INTENSITY 8 CAPSULES 36 PACK,36 Pack,False,,,,,,,,,,,,,,,
