shared_parent,alias_label,shared_subcategory,target_parent,priority,notes
Meat Seafood & Deli,Deli,Deli Meats,,10,Coles coarse override legacy → WW Deli Meats
Meat Seafood & Deli,Deli Meats,Deli Meats,,11,
Meat Seafood & Deli,Deli Specialties,Deli Specialties,,12,
Meat Seafood & Deli,Poultry,Poultry,,13,
Meat Seafood & Deli,Seafood,Seafood,,14,
Meat Seafood & Deli,Frozen Seafood,Seafood,,15,Roll frozen seafood into Seafood for CI compare
Meat Seafood & Deli,Meat,Meat,,16,
Meat Seafood & Deli,Mince,Meat,,17,
Meat Seafood & Deli,"Ham, Bacon & Smallgoods","Ham, Bacon & Smallgoods",,18,
Personal Care,Vitamins & Supplements,Vitamins,,20,
Personal Care,Vitamins,Vitamins,,21,
Personal Care,Snacks,Snacks,Pantry,22,WW Health & Wellness snacks → Pantry Snacks
Drinks,Tea & Coffee,Tea & Coffee,,30,
Drinks,Coffee,Tea & Coffee,,31,
Drinks,Tea,Tea & Coffee,,32,
Drinks,Soft Drinks,Soft Drinks,,33,
Drinks,Sports & Energy Drinks,Sports & Energy Drinks,,34,
Drinks,Flavoured Milk,Milk,,35,
Drinks,Long Life Milk,Milk,,36,
Drinks,Milk,Milk,,37,
Drinks,Juice,"Cordials, Juices & Iced Teas",,38,Coles keyword → WW Iris label
Drinks,"Cordials, Juices & Iced Teas","Cordials, Juices & Iced Teas",,39,
Pantry,Desserts,Desserts,,40,
Pantry,"Cream, Custard & Desserts",Desserts,,41,
Pantry,Indian & South Asian,Asian,,42,
Pantry,Asian,Asian,,43,
Pantry,Snacks,Snacks,,44,
Dairy Eggs & Fridge,Indian & South Asian,Asian,,50,
Dairy Eggs & Fridge,Asian,Asian,,51,
Dairy Eggs & Fridge,Prepared Vegetables,Vegetables,,52,
Dairy Eggs & Fridge,Vegetables,Vegetables,,53,
Dairy Eggs & Fridge,Eggs,"Eggs, Butter & Margarine",,54,Coles keyword split → WW combined L1
Dairy Eggs & Fridge,Butter & Margarine,"Eggs, Butter & Margarine",,55,
Dairy Eggs & Fridge,"Eggs, Butter & Margarine","Eggs, Butter & Margarine",,56,
Frozen,Indian & South Asian,Asian,,60,
Frozen,Asian,Asian,,61,
Frozen,Pizza,Frozen Pizzas,,62,
Frozen,Frozen Pizzas,Frozen Pizzas,,63,
Frozen,Frozen Fruit & Vegetables,Frozen Vegetables,,64,Prefer larger WW frozen veg bucket
Frozen,Frozen Fruit,Frozen Fruit,,65,
Frozen,Frozen Vegetables,Frozen Vegetables,,66,
Cleaning & Maintenance,Kitchen Appliances,Appliances,,70,
Cleaning & Maintenance,Appliances,Appliances,,71,
Home & Lifestyle,Kitchen Appliances,Appliances,,80,
Home & Lifestyle,Appliances,Appliances,,81,
Everyday Market,Home Appliances,Appliances,,90,
Everyday Market,Appliances,Appliances,,91,
Bakery,Bread,Packaged Bread & Bakery,,100,Coles keyword Bread → WW Iris packaged bread
Bakery,Packaged Bread & Bakery,Packaged Bread & Bakery,,101,
